archivo;veredicto;porcentaje;corte_inicio_hz;corte_fin_hz;anchura_hz;caida_db;detalle
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\DJ Rope & DJ Marco Bailey - Spice [1994].flac;LOSSLESS;92;19123;20280;1157;22.1;caída progresiva de 1.2 kHz desde 19.1 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\DJ Sylvan - Guitar Spell (Mix One) [1994].flac;LOSSLESS;100;22050;22050;0;7.9;corte abrupto en 22.1 kHz pero con siseo/señal por encima (caída de solo 8 dB) — filtro digital de la época, no códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Dance 2 Trance - Power Of American Natives [1992].flac;LOSSLESS;77;16863;16923;60;17.9;corte abrupto en 16.9 kHz pero con siseo/señal por encima (caída de solo 18 dB) — un códec deja silencio digital, esto es un filtro de conversor
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Dark A.T.8 - Sucker (Sucker Mindless Mix) [1993].flac;LOSSLESS;97;19938;21372;1434;48.9;caída progresiva de 1.4 kHz desde 19.9 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Datura - El Sueno (Nagual 1) [1994].flac;LOSSLESS;94;17927;20798;2871;25.2;caída progresiva de 2.9 kHz desde 17.9 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Datura - The 7th Hallucination (The 7th Line) [1993].flac;LOSSLESS;99;21496;21733;237;30.6;corte abrupto en 21.5 kHz pero con siseo/señal por encima (caída de solo 31 dB) — filtro digital de la época, no códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Datura - Yerba Del Diablo (Paye) [1991].flac;LOSSLESS;100;22050;22050;0;13.4;corte abrupto en 22.1 kHz pero con siseo/señal por encima (caída de solo 13 dB) — filtro digital de la época, no códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Dj's Rave Ministry - Rave You (Rave Mix) [1993].flac;LOSSLESS;98;18528;21661;3133;44.9;caída progresiva de 3.1 kHz desde 18.5 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Dream Concept - Shy Kid (War Mix) [1994].flac;LOSSLESS;98;20280;21689;1409;40.5;caída progresiva de 1.4 kHz desde 20.3 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Dream Your Dream - Galileo's Trip [1993].flac;LOSSLESS;94;17174;20693;3519;39.0;caída progresiva de 3.5 kHz desde 17.2 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Dream Your Dream - Soushkin (Original Remastered Mix) [1993].flac;LOSSLESS;91;16513;20126;3613;35.6;caída progresiva de 3.6 kHz desde 16.5 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Dream Your Dream - XTC [1993].flac;LOSSLESS;95;20517;21016;499;25.5;corte abrupto en 20.5 kHz pero con siseo/señal por encima (caída de solo 26 dB) — un códec deja silencio digital, esto es un filtro de conversor
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Dreamland - Mind Penetration [1993].flac;LOSSLESS;97;19922;21303;1381;47.0;caída progresiva de 1.4 kHz desde 19.9 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Emmanuel Top - Acid Phase [1994].flac;SOSPECHOSO;97;21127;21415;288;32.0;"muro estrecho (288 Hz) en 21.1 kHz pegado a Nyquist — posible AAC/Vorbis de alta tasa; revisar espectrograma | auCDtect: CDDA 100%"
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Emmanuel Top - Chill Out [1995].flac;SOSPECHOSO;96;20548;21130;582;34.1;"muro estrecho en 20.5 kHz sin silencio profundo debajo (34 dB) — posible lossy de alta tasa o filtro digital abrupto; revisar espectrograma | auCDtect: CDDA 99%"
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Emmanuel Top - Climax V 1.1 [1995].flac;LOSSLESS;91;19816;20012;196;20.1;corte abrupto en 19.8 kHz pero con siseo/señal por encima (caída de solo 20 dB) — un códec deja silencio digital, esto es un filtro de conversor
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Emmanuel Top - Cosmic Event [1994].flac;LOSSLESS;96;18703;21244;2541;29.4;caída progresiva de 2.5 kHz desde 18.7 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Emmanuel Top - Fly Tox [1995].flac;LOSSLESS;77;16369;17045;676;28.1;corte abrupto en 16.4 kHz pero con siseo/señal por encima (caída de solo 28 dB) — un códec deja silencio digital, esto es un filtro de conversor
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Emmanuel Top - Fusion [1995].flac;LOSSLESS;97;18878;21464;2586;29.1;caída progresiva de 2.6 kHz desde 18.9 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Emmanuel Top - So Cold [1994].flac;LOSSLESS;96;19338;21224;1886;35.1;caída progresiva de 1.9 kHz desde 19.3 kHz — típica de filtro antialiasing o remuestreo, no de un códec
E:\Musica\0_Over-Drive_Madrid_[19930917_19950422]\Emmanuel Top - Stress [1995].flac;LOSSLESS;100;22050;22050;0;13.5;corte abrupto en 22.1 kHz pero con siseo/señal por encima (caída de solo 14 dB) — filtro digital de la época, no códec
